"Time","N","ProducerProportion","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","MixingFreq","EnvChangeFreq","Replicate"
1250,1,8e-06,8e-06,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1260,1,5.39952484181392e-05,5.39952484181392e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1270,1,4.39973601583905e-05,4.39973601583905e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1280,1,0.0001199784038873,0.0001199784038873,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1290,1,1e-05,1e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1300,1,9.19862020696896e-05,9.19862020696896e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1310,1,4.19974801511909e-05,4.19974801511909e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1320,1,2.19993840172475e-05,2.19993840172475e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1330,1,3.99976001439914e-05,3.99976001439914e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1340,1,2.59984920874589e-05,2.59984920874589e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1350,1,6.99916010078791e-05,6.99916010078791e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1360,1,5.59966402015879e-05,5.59966402015879e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1370,1,4.79972161614626e-05,4.79972161614626e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1380,1,2.39992800215994e-05,2.39992800215994e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1390,1,1.2e-05,1.2e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1400,1,8.3990089169478e-05,8.3990089169478e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1410,1,8.79869779272668e-05,8.79869779272668e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1420,1,0.000105981135357906,0.000105981135357906,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1430,1,4.99971001681902e-05,4.99971001681902e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1440,1,0.0001539633567211,0.0001539633567211,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1450,1,0.000145960882483494,0.000145960882483494,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1460,1,0.000447652621565665,0.000447652621565665,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
