"Time","N","ProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","EnvChangeFreq","Replicate"
1850,625,0.00162661988388129,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1860,625,0.000970825301385324,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1870,625,0.000856913433765985,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1880,625,0.000575515416019711,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1890,625,0.000601477917167898,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1900,625,0.00112658275888932,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1910,625,0.000657403078005171,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1920,625,0.000781270293545828,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1930,625,0.00120415042494728,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1940,625,0.000687351140523346,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1950,625,0.00171669364803389,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1960,625,0.00131578947368421,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1970,625,0.00109656569207477,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1980,625,0.00114623479841045,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
1990,625,0.00259820020299062,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2000,625,0.0019314495049663,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2010,625,0.00242265934219315,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2020,625,0.00291218593340443,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2030,625,0.00181782264356509,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2040,625,0.000695276912011508,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2050,625,0.000725292114895862,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2060,625,0.000501650851007699,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2070,625,0.000597561389939784,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2080,625,0.00094483030008849,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2090,625,0.00106247428692398,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2100,625,0.000363782458090062,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2110,625,0.00103855018394322,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2120,625,0.00117239616205032,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2130,625,0.00167443345673715,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2140,625,0.00256053859054715,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2150,625,0.0013075914166106,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2160,625,0.000749142980430388,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
2170,625,0.00113624563673688,8,"lattice, 25x25","uniform",0.05,1e-05,1e-05,0.1,0.1,800,2000,NA,0
